수준,날짜 및 시간,원본,이벤트 ID,작업 범주
정보,2025-06-23 오후 9:22:19,Microsoft-Windows-Sysmon,5,Process terminated (rule: ProcessTerminate),"Process terminated:
RuleName: -
UtcTime: 2025-06-23 12:22:19.200
ProcessGuid: {c00189fc-46a5-6859-ad5a-000000006900}
ProcessId: 399224
Image: C:\Program Files\Google\Chrome\Application\chrome.exe
User: DESKTOP-GHQF7EL\wah43"
정보,2025-06-23 오후 9:22:18,Microsoft-Windows-Sysmon,5,Process terminated (rule: ProcessTerminate),"Process terminated:
RuleName: -
UtcTime: 2025-06-23 12:22:18.865
ProcessGuid: {c00189fc-46ee-6859-ae5a-000000006900}
ProcessId: 399744
Image: C:\Windows\System32\svchost.exe
User: DESKTOP-GHQF7EL\wah43"
정보,2025-06-23 오후 9:22:14,Microsoft-Windows-Sysmon,5,Process terminated (rule: ProcessTerminate),"Process terminated:
RuleName: -
UtcTime: 2025-06-23 12:22:14.723
ProcessGuid: {c00189fc-46f6-6859-b05a-000000006900}
ProcessId: 399520
Image: C:\Windows\System32\SnippingTool.exe
User: DESKTOP-GHQF7EL\wah43"
정보,2025-06-23 오후 9:22:14,Microsoft-Windows-Sysmon,5,Process terminated (rule: ProcessTerminate),"Process terminated:
RuleName: -
UtcTime: 2025-06-23 12:22:14.317
ProcessGuid: {c00189fc-46a2-6859-ac5a-000000006900}
ProcessId: 398952
Image: C:\Program Files\Google\Chrome\Application\chrome.exe
User: DESKTOP-GHQF7EL\wah43"
정보,2025-06-23 오후 9:19:27,Microsoft-Windows-Sysmon,5,Process terminated (rule: ProcessTerminate),"Process terminated:
RuleName: -
UtcTime: 2025-06-23 12:19:27.257
ProcessGuid: {c00189fc-464e-6859-aa5a-000000006900}
ProcessId: 398100
Image: C:\Windows\System32\consent.exe
User: NT AUTHORITY\SYSTEM"
정보,2025-06-23 오후 9:19:26,Microsoft-Windows-Sysmon,5,Process terminated (rule: ProcessTerminate),"Process terminated:
RuleName: -
UtcTime: 2025-06-23 12:19:26.738
ProcessGuid: {c00189fc-464e-6859-a95a-000000006900}
ProcessId: 398172
Image: C:\Windows\System32\mmc.exe
User: DESKTOP-GHQF7EL\wah43"
정보,2025-06-23 오후 9:19:03,Microsoft-Windows-Sysmon,5,Process terminated (rule: ProcessTerminate),"Process terminated:
RuleName: -
UtcTime: 2025-06-23 12:19:03.631
ProcessGuid: {c00189fc-4636-6859-a75a-000000006900}
ProcessId: 397912
Image: C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe
User: DESKTOP-GHQF7EL\wah43"
정보,2025-06-23 오후 9:19:02,Microsoft-Windows-Sysmon,1,Process Create (rule: ProcessCreate),"Process Create:
RuleName: -
UtcTime: 2025-06-23 12:19:02.916
ProcessGuid: {c00189fc-4636-6859-a75a-000000006900}
ProcessId: 397912
Image: C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe
FileVersion: 10.0.19041.3996 (WinBuild.160101.0800)
Description: Windows PowerShell
Product: Microsoft® Windows® Operating System
Company: Microsoft Corporation
OriginalFileName: PowerShell.EXE
CommandLine: ""C:\WINDOWS\System32\WindowsPowerShell\v1.0\powershell.exe"" -EncodedCommand ZQBjAGgAbwAgACIASABhAGMAawBlAGQAIQAiAA==
CurrentDirectory: C:\WINDOWS\system32\
User: DESKTOP-GHQF7EL\wah43
LogonGuid: {c00189fc-4281-6859-a1fe-f41500000000}
LogonId: 0x15F4FEA1
TerminalSessionId: 33
IntegrityLevel: High
Hashes: SHA256=9785001B0DCF755EDDB8AF294A373C0B87B2498660F724E76C4D53F9C217C7A3
ParentProcessGuid: {c00189fc-460c-6859-a55a-000000006900}
ParentProcessId: 397444
ParentImage: C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe
ParentCommandLine: ""C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe"" 
ParentUser: DESKTOP-GHQF7EL\wah43"
정보,2025-06-23 오후 9:18:55,Microsoft-Windows-Sysmon,5,Process terminated (rule: ProcessTerminate),"Process terminated:
RuleName: -
UtcTime: 2025-06-23 12:18:55.415
ProcessGuid: {c00189fc-4605-6859-a15a-000000006900}
ProcessId: 396564
Image: C:\Windows\System32\RuntimeBroker.exe
User: DESKTOP-GHQF7EL\wah43"
정보,2025-06-23 오후 9:18:20,Microsoft-Windows-Sysmon,1,Process Create (rule: ProcessCreate),"Process Create:
RuleName: -
UtcTime: 2025-06-23 12:18:20.269
ProcessGuid: {c00189fc-460c-6859-a55a-000000006900}
ProcessId: 397444
Image: C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe
FileVersion: 10.0.19041.3996 (WinBuild.160101.0800)
Description: Windows PowerShell
Product: Microsoft® Windows® Operating System
Company: Microsoft Corporation
OriginalFileName: PowerShell.EXE
CommandLine: ""C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe"" 
CurrentDirectory: C:\WINDOWS\system32\
User: DESKTOP-GHQF7EL\wah43
LogonGuid: {c00189fc-4281-6859-a1fe-f41500000000}
LogonId: 0x15F4FEA1
TerminalSessionId: 33
IntegrityLevel: High
Hashes: SHA256=9785001B0DCF755EDDB8AF294A373C0B87B2498660F724E76C4D53F9C217C7A3
ParentProcessGuid: {c00189fc-4295-6859-d559-000000006900}
ParentProcessId: 377404
ParentImage: C:\Windows\System32\RuntimeBroker.exe
ParentCommandLine: C:\Windows\System32\RuntimeBroker.exe -Embedding
ParentUser: DESKTOP-GHQF7EL\wah43"
